time,T_out,RH_out,I_solar,wind,rain,cloud
2021-01-01 00:00:00,13.8,94,0.0,1.71,0.0,0
2021-01-01 01:00:00,13.3,99,0.0,1.7,0.0,0
2021-01-01 02:00:00,12.0,100,0.0,2.26,0.0,98
2021-01-01 03:00:00,12.6,99,0.0,1.5,0.0,1
2021-01-01 04:00:00,12.9,98,0.0,1.53,0.0,2
2021-01-01 05:00:00,13.3,98,0.0,2.33,0.0,1
2021-01-01 06:00:00,13.3,95,2.0,1.84,0.0,53
2021-01-01 07:00:00,14.6,88,83.0,1.81,0.0,17
2021-01-01 08:00:00,16.3,79,250.0,1.77,0.0,0
2021-01-01 09:00:00,18.4,72,444.0,1.89,0.0,0
2021-01-01 10:00:00,20.5,64,568.0,2.42,0.0,0
2021-01-01 11:00:00,22.5,56,632.0,2.75,0.0,0
2021-01-01 12:00:00,23.7,51,629.0,2.69,0.0,0
2021-01-01 13:00:00,24.2,47,559.0,2.56,0.0,0
2021-01-01 14:00:00,24.1,45,430.0,2.3,0.0,0
2021-01-01 15:00:00,22.9,54,259.0,1.42,0.0,0
2021-01-01 16:00:00,18.7,71,82.0,2.28,0.0,0
2021-01-01 17:00:00,17.3,79,1.0,2.62,0.0,0
2021-01-01 18:00:00,16.2,83,0.0,2.52,0.0,0
2021-01-01 19:00:00,15.6,86,0.0,2.28,0.0,0
2021-01-01 20:00:00,15.3,87,0.0,1.8,0.0,0
2021-01-01 21:00:00,14.0,92,0.0,2.26,0.0,0
2021-01-01 22:00:00,13.7,93,0.0,2.3,0.0,0
2021-01-01 23:00:00,13.3,94,0.0,2.22,0.0,0
2021-01-02 00:00:00,12.8,95,0.0,2.35,0.0,0
2021-01-02 01:00:00,12.5,95,0.0,2.47,0.0,0
2021-01-02 02:00:00,14.4,94,0.0,1.75,0.0,0
2021-01-02 03:00:00,13.1,99,0.0,2.15,0.0,0
2021-01-02 04:00:00,11.4,99,0.0,2.33,0.0,1
2021-01-02 05:00:00,13.6,96,0.0,2.22,0.0,2
2021-01-02 06:00:00,13.5,96,2.0,1.75,0.0,90
2021-01-02 07:00:00,14.8,87,69.0,1.71,0.0,7
2021-01-02 08:00:00,16.3,81,232.0,1.26,0.0,0
2021-01-02 09:00:00,18.4,74,439.0,1.2,0.0,0
2021-01-02 10:00:00,20.3,66,562.0,1.41,0.0,0
2021-01-02 11:00:00,22.1,58,626.0,1.78,0.0,0
2021-01-02 12:00:00,23.3,53,622.0,2.08,0.0,0
2021-01-02 13:00:00,23.8,49,553.0,2.25,0.0,43
2021-01-02 14:00:00,23.6,49,426.0,2.16,0.0,67
2021-01-02 15:00:00,22.7,55,255.0,1.5,0.0,1
2021-01-02 16:00:00,18.9,72,82.0,2.2,0.0,0
2021-01-02 17:00:00,17.5,81,1.0,2.5,0.0,0
2021-01-02 18:00:00,16.8,84,0.0,2.25,0.0,0
2021-01-02 19:00:00,16.1,87,0.0,2.19,0.0,1
2021-01-02 20:00:00,16.1,86,0.0,1.77,0.0,20
