vpd_weight,leaf_wet_weight,w_switch,fan_energy_weight,water_L_per_m2,leaf_wet_hours,vent_actuations,fan_actuations,fan_kWh,cumulative_dsv,alternaria_risk,pct_vpd_band
0.5,0.08,0.05,0.02,0.0,999,498,248,220.0,4.0,2,14.25925925925926
0.5,0.04,0.15,0.02,0.0,1227,183,16,12.0,10.0,10,14.120370370370368
0.5,0.16,0.05,0.0,0.0,838,651,50,531.0,1.0,0,13.842592592592592
0.5,0.04,0.05,0.0,0.0,806,486,48,522.5,1.0,0,13.981481481481481
0.5,0.04,0.05,0.02,0.0,1190,359,58,29.5,10.0,10,14.120370370370368
0.5,0.08,0.15,0.0,0.0,804,427,14,533.0,1.0,0,13.935185185185187
0.5,0.08,0.15,0.02,0.0,994,315,100,179.25,5.0,2,14.212962962962964
0.5,0.08,0.05,0.0,0.0,825,573,46,528.0,1.0,0,13.935185185185187
0.5,0.16,0.05,0.02,0.0,903,632,342,410.0,1.0,0,13.88888888888889
0.5,0.04,0.15,0.0,0.0,769,275,13,528.0,1.0,0,14.027777777777779
0.5,0.16,0.15,0.02,0.0,865,543,122,442.5,1.0,0,14.027777777777779
0.5,0.16,0.15,0.0,0.0,827,530,14,536.75,1.0,0,13.796296296296296
1.0,0.04,0.15,0.0,0.0,783,296,31,506.25,1.0,0,14.166666666666666
1.0,0.04,0.05,0.0,0.0,799,461,80,512.75,1.0,0,14.027777777777779
1.0,0.04,0.05,0.02,0.0,1182,360,70,32.25,10.0,10,14.120370370370368
1.0,0.04,0.15,0.02,0.0,1245,214,28,9.75,11.0,10,14.212962962962964
1.0,0.08,0.05,0.0,0.0,813,552,72,521.5,1.0,0,13.981481481481481
1.0,0.08,0.05,0.02,0.0,988,470,260,214.5,4.0,1,14.166666666666666
1.0,0.08,0.15,0.0,0.0,799,432,24,524.75,1.0,0,14.027777777777779
1.0,0.08,0.15,0.02,0.0,992,331,116,189.5,6.0,2,14.212962962962964
1.0,0.16,0.05,0.02,0.0,889,618,340,404.25,1.0,0,14.074074074074074
1.0,0.16,0.05,0.0,0.0,829,650,74,524.0,1.0,0,13.981481481481481
2.0,0.04,0.05,0.0,0.0,806,457,140,492.25,1.0,0,13.935185185185187
2.0,0.04,0.05,0.02,0.0,1170,392,94,37.75,12.0,10,14.166666666666666
1.0,0.16,0.15,0.0,0.0,820,538,22,531.25,1.0,0,13.981481481481481
1.0,0.16,0.15,0.02,0.0,856,535,127,439.75,1.0,0,14.074074074074074
2.0,0.04,0.15,0.0,0.0,791,341,55,480.75,1.0,0,14.166666666666666
2.0,0.04,0.15,0.02,0.0,1246,284,36,11.25,11.0,10,14.120370370370368
2.0,0.08,0.05,0.0,0.0,809,528,122,508.0,1.0,0,14.027777777777779
2.0,0.08,0.05,0.02,0.0,985,457,272,204.25,5.0,1,14.074074074074074
2.0,0.08,0.15,0.0,0.0,795,425,58,514.0,1.0,0,13.981481481481481
2.0,0.08,0.15,0.02,0.0,981,349,128,187.75,6.0,2,14.120370370370368
2.0,0.16,0.05,0.0,0.0,824,620,120,516.25,1.0,0,13.981481481481481
2.0,0.16,0.15,0.0,0.0,814,530,56,524.0,1.0,0,13.981481481481481
2.0,0.16,0.05,0.02,0.0,887,588,339,397.0,1.0,0,14.027777777777779
2.0,0.16,0.15,0.02,0.0,849,532,155,427.25,1.0,0,13.935185185185187
